title,article_link,category,date,page
"Hoaks! Putin peringatkan Indonesia tidak ikut campur, urus minyak goreng saja",https://www.antaranews.com/berita/2740917/hoaks-putin-peringatkan-indonesia-tidak-ikut-campur-urus-minyak-goreng-saja,Dunia, 5 Maret 2022 12:50,1
Hoaks! Alfamart bagikan minyak goreng 1 kg gratis,https://www.antaranews.com/berita/2740909/hoaks-alfamart-bagikan-minyak-goreng-1-kg-gratis,Ekonomi, 5 Maret 2022 12:47,1
Hoaks! TNI bantu militer Ukraina gempur Rusia,https://www.antaranews.com/berita/2740173/hoaks-tni-bantu-militer-ukraina-gempur-rusia,Dunia, 4 Maret 2022 20:50,1
HOAKS! Sapi bertelur dari pemerintah China,https://www.antaranews.com/berita/2738685/hoaks-sapi-bertelur-dari-pemerintah-china,Dunia, 4 Maret 2022 10:39,1
Hoaks! Jokowi ajak masyarakat ikut wajib militer antisipasi perang dunia,https://www.antaranews.com/berita/2732569/hoaks-jokowi-ajak-masyarakat-ikut-wajib-militer-antisipasi-perang-dunia,Politik, 1 Maret 2022 13:10,1
Hoaks! Foto manusia lumba-lumba hasil persilangan dengan orang Jepang,https://www.antaranews.com/berita/2728373/hoaks-foto-manusia-lumba-lumba-hasil-persilangan-dengan-orang-jepang,Warta Bumi, 26 Februari 2022 14:54,1
"Hoaks! Dinkes Jabar buka lowongan staf vaksinasi ""booster""",https://www.antaranews.com/berita/2728369/hoaks-dinkes-jabar-buka-lowongan-staf-vaksinasi-booster,Humaniora, 26 Februari 2022 14:52,1
Hoaks! Anies Baswedan jadi kepala otorita IKN,https://www.antaranews.com/berita/2727181/hoaks-anies-baswedan-jadi-kepala-otorita-ikn,Politik, 25 Februari 2022 18:58,1
"Hoaks! Serbuk ""chemtrails"" bernama Omikron di pesawat",https://www.antaranews.com/berita/2725661/hoaks-serbuk-chemtrails-bernama-omikron-di-pesawat,Warta Bumi, 25 Februari 2022 09:36,1
Hoaks! Makanan kaleng dapat menyebabkan HIV/AIDS,https://www.antaranews.com/berita/2725653/hoaks-makanan-kaleng-dapat-menyebabkan-hiv-aids,Lifestyle, 25 Februari 2022 09:33,1
